エドモントンの首都はどの国または州ですか？答えは： アルバータ州
クアラルンプールの首都はどの国または州ですか？答えは： マレーシア
イスラマバードの首都はどの国または州ですか？答えは： パキスタン
カトマンズの首都はどの国または州ですか？答えは： ネパール
ハルツームの首都はどの国または州ですか？答えは： スーダン
ヴィリニュスの首都はどの国または州ですか？答えは： リトアニア
ベイルートの首都はどの国または州ですか？答えは： レバノン
リスボンの首都はどの国または州ですか？答えは： ポルトガル
ルアンダの首都はどの国または州ですか？答えは： アンゴラ
モスクワの首都はどの国または州ですか？答えは： ロシア
ウィニペグの首都はどの国または州ですか？答えは： マニトバ州
リロングウェの首都はどの国または州ですか？答えは： マラウイ
メキシコシティの首都はどの国または州ですか？答えは： メキシコ
マプトの首都はどの国または州ですか？答えは： モザンビーク
ボストンの首都はどの国または州ですか？答えは： マサチューセッツ州
オタワの首都はどの国または州ですか？答えは： カナダ
モンテビデオの首都はどの国または州ですか？答えは： ウルグアイ
マナーマの首都はどの国または州ですか？答えは： バーレーン
バンガロールの首都はどの国または州ですか？答えは： カルナータカ州
ブダペストの首都はどの国または州ですか？答えは： ハンガリー
テグシガルパの首都はどの国または州ですか？答えは： ホンジュラス
ガンディーナガルの首都はどの国または州ですか？答えは： グジャラート州
ポドゴリツァの首都はどの国または州ですか？答えは： モンテネグロ
トロントの首都はどの国または州ですか？答えは： オンタリオ州
パナマ市の首都はどの国または州ですか？答えは： パナマ
ダカールの首都はどの国または州ですか？答えは： セネガル
ラゴスの首都はどの国または州ですか？答えは： ナイジェリア
バンコクの首都はどの国または州ですか？答えは： タイ王国
サンティアゴの首都はどの国または州ですか？答えは： チリ
ニューデリーの首都はどの国または州ですか？答えは： インド
ベオグラードの首都はどの国または州ですか？答えは： セルビア
カリャリの首都はどの国または州ですか？答えは： サルデーニャ州
カラカスの首都はどの国または州ですか？答えは： ベネズエラ
ニコシアの首都はどの国または州ですか？答えは： キプロス
キエフの首都はどの国または州ですか？答えは： ウクライナ
台北市の首都はどの国または州ですか？答えは： 中華民国
アブジャの首都はどの国または州ですか？答えは： ナイジェリア
ソフィアの首都はどの国または州ですか？答えは： ブルガリア
ソルトレイクシティの首都はどの国または州ですか？答えは： ユタ州
パレルモの首都はどの国または州ですか？答えは： シチリア州
テヘランの首都はどの国または州ですか？答えは： イラン
ケベック・シティーの首都はどの国または州ですか？答えは： ケベック州
プラハの首都はどの国または州ですか？答えは： チェコスロバキア
ダッカの首都はどの国または州ですか？答えは： バングラデシュ
ブリスベンの首都はどの国または州ですか？答えは： クイーンズランド州
ハラレの首都はどの国または州ですか？答えは： ジンバブエ
エクス＝アン＝プロヴァンスの首都はどの国または州ですか？答えは： プロヴァンス
モンロビアの首都はどの国または州ですか？答えは： リベリア
ベルンの首都はどの国または州ですか？答えは： スイス
アディスアベバの首都はどの国または州ですか？答えは： エチオピア
ザグレブの首都はどの国または州ですか？答えは： クロアチア
プノンペンの首都はどの国または州ですか？答えは： カンボジア
ドゥシャンベの首都はどの国または州ですか？答えは： タジキスタン
ランシングの首都はどの国または州ですか？答えは： ミシガン州
クチンの首都はどの国または州ですか？答えは： サラワク州
マニラの首都はどの国または州ですか？答えは： フィリピン
ウェストミンスターの首都はどの国または州ですか？答えは： イングランド王国
キトの首都はどの国または州ですか？答えは： エクアドル
レスターの首都はどの国または州ですか？答えは： レスターシャー
昆明市の首都はどの国または州ですか？答えは： 雲南省
マナグアの首都はどの国または州ですか？答えは： ニカラグア
スクレの首都はどの国または州ですか？答えは： ボリビア
ホノルルの首都はどの国または州ですか？答えは： ハワイ州
ヴィエンチャンの首都はどの国または州ですか？答えは： ラオス
成都市の首都はどの国または州ですか？答えは： 四川省
サラゴサの首都はどの国または州ですか？答えは： アラゴン州
オックスフォードの首都はどの国または州ですか？答えは： オックスフォードシャー
チャンディーガルの首都はどの国または州ですか？答えは： ハリヤーナー州
ニアメの首都はどの国または州ですか？答えは： ニジェール
ドーハの首都はどの国または州ですか？答えは： カタール
ハラレの首都はどの国または州ですか？答えは： ローデシア
アピアの首都はどの国または州ですか？答えは： サモア
ブラチスラヴァの首都はどの国または州ですか？答えは： スロバキア
コタキナバルの首都はどの国または州ですか？答えは： サバ州
タシュケントの首都はどの国または州ですか？答えは： ウズベキスタン
ドドマの首都はどの国または州ですか？答えは： タンザニア
ティラナの首都はどの国または州ですか？答えは： アルバニア
カンパラの首都はどの国または州ですか？答えは： ウガンダ
ハノイの首都はどの国または州ですか？答えは： ベトナム
アデンの首都はどの国または州ですか？答えは： イエメン
ルサカの首都はどの国または州ですか？答えは： ザンビア
エレバンの首都はどの国または州ですか？答えは： アルメニア
クウェート市の首都はどの国または州ですか？答えは： クウェート
ポートルイスの首都はどの国または州ですか？答えは： モーリシャス
アクラの首都はどの国または州ですか？答えは： ガーナ
ジャイプルの首都はどの国または州ですか？答えは： ラージャスターン州
ミンスクの首都はどの国または州ですか？答えは： ベラルーシ
デモインの首都はどの国または州ですか？答えは： アイオワ州
パトナの首都はどの国または州ですか？答えは： ビハール州
バトンルージュの首都はどの国または州ですか？答えは： ルイジアナ州
ジョグジャカルタ市の首都はどの国または州ですか？答えは： インドネシア
ヌル-スルタンの首都はどの国または州ですか？答えは： カザフスタン
ヴィースバーデンの首都はどの国または州ですか？答えは： ヘッセン州
ディジョンの首都はどの国または州ですか？答えは： ブルゴーニュ地域圏
ルーアンの首都はどの国または州ですか？答えは： ノルマンディー
オクラホマシティの首都はどの国または州ですか？答えは： オクラホマ州
リトルロックの首都はどの国または州ですか？答えは： アーカンソー州
ンジャメナの首都はどの国または州ですか？答えは： チャド
アンマンの首都はどの国または州ですか？答えは： ヨルダン
ティルヴァナンタプラムの首都はどの国または州ですか？答えは： ケーララ州
ブリッジタウンの首都はどの国または州ですか？答えは： バルバドス
ドバイの首都はどの国または州ですか？答えは： ドバイ首長国
ポツダムの首都はどの国または州ですか？答えは： ブランデンブルク州
アンタナナリボの首都はどの国または州ですか？答えは： マダガスカル
バマコの首都はどの国または州ですか？答えは： マリ共和国
アナポリスの首都はどの国または州ですか？答えは： メリーランド州
ハイデラバードの首都はどの国または州ですか？答えは： テランガナ
チャンディーガルの首都はどの国または州ですか？答えは： パンジャーブ州
ブール＝ガン＝ブレスの首都はどの国または州ですか？答えは： アン県
スバの首都はどの国または州ですか？答えは： フィジー
ハリスバーグの首都はどの国または州ですか？答えは： ペンシルベニア州
サヌアの首都はどの国または州ですか？答えは： イエメン
パナジの首都はどの国または州ですか？答えは： ゴア州
バンダルスリブガワンの首都はどの国または州ですか？答えは： ブルネイ
シャイアンの首都はどの国または州ですか？答えは： ワイオミング州
パンプローナの首都はどの国または州ですか？答えは： ナバラ州
リーブルヴィルの首都はどの国または州ですか？答えは： ガボン
プリシュティナの首都はどの国または州ですか？答えは： コソボ共和国
ヌークの首都はどの国または州ですか？答えは： グリーンランド
ウィンチェスターの首都はどの国または州ですか？答えは： イングランド王国
ベオグラードの首都はどの国または州ですか？答えは： ユーゴスラビア
ハートフォードの首都はどの国または州ですか？答えは： コネチカット州
リマの首都はどの国または州ですか？答えは： ペルー
コナクリの首都はどの国または州ですか？答えは： ギニア
ジュノーの首都はどの国または州ですか？答えは： アラスカ州
ベルモパンの首都はどの国または州ですか？答えは： ベリーズ
サクラメントの首都はどの国または州ですか？答えは： カリフォルニア州
シティ・オブ・ロンドンの首都はどの国または州ですか？答えは： イングランド王国
キガリの首都はどの国または州ですか？答えは： ルワンダ
ブリュッセル＝ヴィルの首都はどの国または州ですか？答えは： ベルギー
ティンプーの首都はどの国または州ですか？答えは： ブータン
ナフプリオの首都はどの国または州ですか？答えは： ギリシャ
アルバ・ユリアの首都はどの国または州ですか？答えは： アルバ県
ボイシの首都はどの国または州ですか？答えは： アイダホ州
ナッシュビルの首都はどの国または州ですか？答えは： テネシー州
アルロンの首都はどの国または州ですか？答えは： リュクサンブール州
ザルツブルクの首都はどの国または州ですか？答えは： ザルツブルク州
オースティンの首都はどの国または州ですか？答えは： テキサス州
セントポールの首都はどの国または州ですか？答えは： ミネソタ州
マスカットの首都はどの国または州ですか？答えは： オマーン
タラハシーの首都はどの国または州ですか？答えは： フロリダ州
トビリシの首都はどの国または州ですか？答えは： ジョージア
ブリュッセル＝ヴィルの首都はどの国または州ですか？答えは： フランドル
ヘブロンの首都はどの国または州ですか？答えは： ユダ王国
リールの首都はどの国または州ですか？答えは： ノール県
トピカの首都はどの国または州ですか？答えは： カンザス州
サンティアゴ・デ・コンポステーラの首都はどの国または州ですか？答えは： ガリシア州
トルコが位置する大陸はどこですか？答えは： アジア
ナミビアが位置する大陸はどこですか？答えは： アフリカ
オーストラリア南極領土が位置する大陸はどこですか？答えは： 南極大陸
コーチが位置する大陸はどこですか？答えは： アジア
ドイツが位置する大陸はどこですか？答えは： ヨーロッパ
チェシンが位置する大陸はどこですか？答えは： ヨーロッパ
ソビエト連邦が位置する大陸はどこですか？答えは： ヨーロッパ
ヨークシャーが位置する大陸はどこですか？答えは： ヨーロッパ
ピトケアン諸島が位置する大陸はどこですか？答えは： オセアニア
アルメニアが位置する大陸はどこですか？答えは： ヨーロッパ
ハノイが位置する大陸はどこですか？答えは： アジア
タリンが位置する大陸はどこですか？答えは： ヨーロッパ
北ブラバント州が位置する大陸はどこですか？答えは： ヨーロッパ
タホ川が位置する大陸はどこですか？答えは： ヨーロッパ
サウジアラビアが位置する大陸はどこですか？答えは： アジア
オーストラリアが位置する大陸はどこですか？答えは： オセアニア
エリトリアが位置する大陸はどこですか？答えは： アフリカ
トゥールーズが位置する大陸はどこですか？答えは： ヨーロッパ
大韓民国が位置する大陸はどこですか？答えは： アジア
ハーグが位置する大陸はどこですか？答えは： ヨーロッパ
デンマークが位置する大陸はどこですか？答えは： ヨーロッパ
イギリスが位置する大陸はどこですか？答えは： ヨーロッパ
イギリス帝国が位置する大陸はどこですか？答えは： アフリカ
南アジアが位置する大陸はどこですか？答えは： アジア
ブルガリアが位置する大陸はどこですか？答えは： ヨーロッパ
ペチョラ川が位置する大陸はどこですか？答えは： ヨーロッパ
キリバスが位置する大陸はどこですか？答えは： オセアニア
アイガーが位置する大陸はどこですか？答えは： ヨーロッパ
チェコスロバキアが位置する大陸はどこですか？答えは： ヨーロッパ
オーストリアが位置する大陸はどこですか？答えは： ヨーロッパ
ギリシャが位置する大陸はどこですか？答えは： ヨーロッパ
ウェールズが位置する大陸はどこですか？答えは： ヨーロッパ
インドネシアが位置する大陸はどこですか？答えは： アジア
ベトナムが位置する大陸はどこですか？答えは： アジア
欧州連合が位置する大陸はどこですか？答えは： ヨーロッパ
ユーゴスラビアが位置する大陸はどこですか？答えは： ヨーロッパ
ウォリス・フツナが位置する大陸はどこですか？答えは： オセアニア
マーシアが位置する大陸はどこですか？答えは： ヨーロッパ
南極横断山脈が位置する大陸はどこですか？答えは： 南極大陸
トビリシが位置する大陸はどこですか？答えは： ヨーロッパ
ベルンが位置する大陸はどこですか？答えは： ヨーロッパ
パリが位置する大陸はどこですか？答えは： ヨーロッパ
ハバロフスクが位置する大陸はどこですか？答えは： アジア
ニューデリーが位置する大陸はどこですか？答えは： アジア
アゼルバイジャンが位置する大陸はどこですか？答えは： アジア
テヴェレ川が位置する大陸はどこですか？答えは： ヨーロッパ
スロベニアが位置する大陸はどこですか？答えは： ヨーロッパ
エルティシ川が位置する大陸はどこですか？答えは： アジア
チャンディーガルが位置する大陸はどこですか？答えは： アジア
エピロス専制侯国が位置する大陸はどこですか？答えは： ヨーロッパ
イングランドが位置する大陸はどこですか？答えは： ヨーロッパ
フランス・メトロポリテーヌが位置する大陸はどこですか？答えは： ヨーロッパ
コモロが位置する大陸はどこですか？答えは： アフリカ
東フランク王国が位置する大陸はどこですか？答えは： ヨーロッパ
オランダ王国が位置する大陸はどこですか？答えは： ヨーロッパ
マーシャル諸島が位置する大陸はどこですか？答えは： オセアニア
ダマン・ディーウ連邦直轄領が位置する大陸はどこですか？答えは： アジア
レソトが位置する大陸はどこですか？答えは： アフリカ
ロワール川が位置する大陸はどこですか？答えは： ヨーロッパ
マヨットが位置する大陸はどこですか？答えは： アフリカ
ミクロネシア連邦が位置する大陸はどこですか？答えは： オセアニア
北ホラント州が位置する大陸はどこですか？答えは： ヨーロッパ
北マケドニアが位置する大陸はどこですか？答えは： ヨーロッパ
リベリアが位置する大陸はどこですか？答えは： アフリカ
エルベ川が位置する大陸はどこですか？答えは： ヨーロッパ
バヌアツが位置する大陸はどこですか？答えは： オセアニア
クラヨーヴァが位置する大陸はどこですか？答えは： ヨーロッパ
ヒマーチャル・プラデーシュ州が位置する大陸はどこですか？答えは： アジア
クック諸島が位置する大陸はどこですか？答えは： オセアニア
南極プレートが位置する大陸はどこですか？答えは： 南極大陸
香港が位置する大陸はどこですか？答えは： アジア
サンクトペテルブルクが位置する大陸はどこですか？答えは： ヨーロッパ
タジキスタンが位置する大陸はどこですか？答えは： アジア
カラハリ砂漠が位置する大陸はどこですか？答えは： アフリカ
トルクメニスタンが位置する大陸はどこですか？答えは： アジア
古代ギリシアが位置する大陸はどこですか？答えは： ヨーロッパ
モスクワが位置する大陸はどこですか？答えは： ヨーロッパ
ゴア州が位置する大陸はどこですか？答えは： アジア
タイ王国が位置する大陸はどこですか？答えは： アジア
ユーフラテス川が位置する大陸はどこですか？答えは： アジア
スヘルデ川が位置する大陸はどこですか？答えは： ヨーロッパ
スコットランドが位置する大陸はどこですか？答えは： ヨーロッパ
ブルグント王国が位置する大陸はどこですか？答えは： ヨーロッパ
カンチェンジュンガが位置する大陸はどこですか？答えは： アジア
スロバキアが位置する大陸はどこですか？答えは： ヨーロッパ
カメルーンが位置する大陸はどこですか？答えは： アフリカ
ルビコン川が位置する大陸はどこですか？答えは： ヨーロッパ
オーストリア＝ハンガリー帝国が位置する大陸はどこですか？答えは： ヨーロッパ
グレートブリテン及びアイルランド連合王国が位置する大陸はどこですか？答えは： ヨーロッパ
ボストーク湖が位置する大陸はどこですか？答えは： 南極大陸
赤道ギニアが位置する大陸はどこですか？答えは： アフリカ
スペインが位置する大陸はどこですか？答えは： ヨーロッパ
ナイジェリアが位置する大陸はどこですか？答えは： アフリカ
エスワティニが位置する大陸はどこですか？答えは： アフリカ
ヴィンソン・マシフが位置する大陸はどこですか？答えは： 南極大陸
セーシェルが位置する大陸はどこですか？答えは： アフリカ
ニジェールが位置する大陸はどこですか？答えは： アフリカ
ポルトガルが位置する大陸はどこですか？答えは： ヨーロッパ
ニウエが位置する大陸はどこですか？答えは： オセアニア
アイルランド自由国が位置する大陸はどこですか？答えは： ヨーロッパ
ティサ川が位置する大陸はどこですか？答えは： ヨーロッパ
ボスニア・ヘルツェゴビナが位置する大陸はどこですか？答えは： ヨーロッパ
中東が位置する大陸はどこですか？答えは： アフリカ
アッバース朝が位置する大陸はどこですか？答えは： アフリカ
パラオが位置する大陸はどこですか？答えは： オセアニア
メリリャが位置する大陸はどこですか？答えは： アフリカ
モンテネグロが位置する大陸はどこですか？答えは： ヨーロッパ
マニプル州が位置する大陸はどこですか？答えは： アジア
ウェリントンが位置する大陸はどこですか？答えは： オセアニア
ジブチが位置する大陸はどこですか？答えは： アフリカ
ベナンが位置する大陸はどこですか？答えは： アフリカ
イランが位置する大陸はどこですか？答えは： アジア
グロースグロックナー山が位置する大陸はどこですか？答えは： ヨーロッパ
ジブラルタルが位置する大陸はどこですか？答えは： ヨーロッパ
モンブランが位置する大陸はどこですか？答えは： ヨーロッパ
アイルランドが位置する大陸はどこですか？答えは： ヨーロッパ
クウェートが位置する大陸はどこですか？答えは： アジア
ティンプーが位置する大陸はどこですか？答えは： アジア
長江が位置する大陸はどこですか？答えは： アジア
カザフスタンが位置する大陸はどこですか？答えは： ヨーロッパ
ザクセン王国が位置する大陸はどこですか？答えは： ヨーロッパ
エーヤワディー川が位置する大陸はどこですか？答えは： アジア
ラオスが位置する大陸はどこですか？答えは： アジア
スイスが位置する大陸はどこですか？答えは： ヨーロッパ
グディニャが位置する大陸はどこですか？答えは： ヨーロッパ
ドニエストル川が位置する大陸はどこですか？答えは： ヨーロッパ
プネーが位置する大陸はどこですか？答えは： アジア
ラージコートが位置する大陸はどこですか？答えは： アジア
クルィヴィーイ・リーフが位置する大陸はどこですか？答えは： ヨーロッパ
イン川が位置する大陸はどこですか？答えは： ヨーロッパ
タシュケントが位置する大陸はどこですか？答えは： アジア
ダウガヴァ川が位置する大陸はどこですか？答えは： ヨーロッパ
ジャンムー・カシミール州が位置する大陸はどこですか？答えは： アジア
マレーシアが位置する大陸はどこですか？答えは： アジア
ウッタル・プラデーシュ州が位置する大陸はどこですか？答えは： アジア
ヴァルタ川が位置する大陸はどこですか？答えは： ヨーロッパ
タミル・ナードゥ州が位置する大陸はどこですか？答えは： アジア
レバノンが位置する大陸はどこですか？答えは： アジア
ブルンジが位置する大陸はどこですか？答えは： アフリカ
ティルヴァナンタプラムが位置する大陸はどこですか？答えは： アジア
ネーデルラント連邦共和国が位置する大陸はどこですか？答えは： ヨーロッパ
カタールが位置する大陸はどこですか？答えは： アジア
アフガニスタンが位置する大陸はどこですか？答えは： アジア
イギリス海峡が位置する大陸はどこですか？答えは： ヨーロッパ
沿海地方が位置する大陸はどこですか？答えは： アジア
アラブ首長国連邦が位置する大陸はどこですか？答えは： アジア
バイカル湖が位置する大陸はどこですか？答えは： アジア
アコンカグアが位置する大陸はどこですか？答えは： アメリカ州
バーゼルが位置する大陸はどこですか？答えは： ヨーロッパ
アレクサンダー島が位置する大陸はどこですか？答えは： 南極大陸
オホス・デル・サラードが位置する大陸はどこですか？答えは： アメリカ州
モルドバが位置する大陸はどこですか？答えは： ヨーロッパ
マッコーリー島が位置する大陸はどこですか？答えは： 南極大陸
ムンバイが位置する大陸はどこですか？答えは： アジア
カタルーニャ州が位置する大陸はどこですか？答えは： ヨーロッパ
マダガスカルが位置する大陸はどこですか？答えは： アフリカ
ネヴァ川が位置する大陸はどこですか？答えは： ヨーロッパ
中央アフリカ共和国が位置する大陸はどこですか？答えは： アフリカ
エジプトが位置する大陸はどこですか？答えは： アフリカ
アルザス＝ロレーヌが位置する大陸はどこですか？答えは： ヨーロッパ
アンゴラが位置する大陸はどこですか？答えは： アフリカ
中東が位置する大陸はどこですか？答えは： ヨーロッパ
イギリス帝国が位置する大陸はどこですか？答えは： アメリカ州
アテネが位置する大陸はどこですか？答えは： ヨーロッパ
チグリス川が位置する大陸はどこですか？答えは： アジア
カンボジアが位置する大陸はどこですか？答えは： アジア
ヴォルガ・ブルガールが位置する大陸はどこですか？答えは： ヨーロッパ
マリ共和国が位置する大陸はどこですか？答えは： アフリカ
ヴァンターが位置する大陸はどこですか？答えは： ヨーロッパ
チュクチ自治管区が位置する大陸はどこですか？答えは： アジア
ギニアビサウが位置する大陸はどこですか？答えは： アフリカ
フィンランドが位置する大陸はどこですか？答えは： ヨーロッパ
ワロン地域が位置する大陸はどこですか？答えは： ヨーロッパ
モロッコが位置する大陸はどこですか？答えは： アフリカ
マハーラーシュトラ州が位置する大陸はどこですか？答えは： アジア
ナイル川が位置する大陸はどこですか？答えは： アフリカ
ヨーロッパ史が位置する大陸はどこですか？答えは： ヨーロッパ
ダマーヴァンド山が位置する大陸はどこですか？答えは： アジア
ウマイヤ朝が位置する大陸はどこですか？答えは： ヨーロッパ
カトヴィツェが位置する大陸はどこですか？答えは： ヨーロッパ
ライン川が位置する大陸はどこですか？答えは： ヨーロッパ
ヘルダーラント州が位置する大陸はどこですか？答えは： ヨーロッパ
モーリシャスが位置する大陸はどこですか？答えは： アフリカ
東側諸国が位置する大陸はどこですか？答えは： ヨーロッパ
オークランドが位置する大陸はどこですか？答えは： オセアニア
ヴァイキングが位置する大陸はどこですか？答えは： ヨーロッパ
ニジェール川が位置する大陸はどこですか？答えは： アフリカ
西アジアが位置する大陸はどこですか？答えは： アジア
トケラウが位置する大陸はどこですか？答えは： オセアニア
ビハール州が位置する大陸はどこですか？答えは： アジア
エストニアが位置する大陸はどこですか？答えは： ヨーロッパ
フランス領南方・南極地域が位置する大陸はどこですか？答えは： 南極大陸
スーダンが位置する大陸はどこですか？答えは： アフリカ
シーランド公国が位置する大陸はどこですか？答えは： ヨーロッパ
南極条約が位置する大陸はどこですか？答えは： 南極大陸
ネパールが位置する大陸はどこですか？答えは： アジア
フアン・デ・ノヴァ島が位置する大陸はどこですか？答えは： アフリカ
アメリカ合衆国が位置する大陸はどこですか？答えは： オセアニア
日本が位置する大陸はどこですか？答えは： アジア
モザンビークが位置する大陸はどこですか？答えは： アフリカ
シムラーが位置する大陸はどこですか？答えは： アジア
ヘルシンキが位置する大陸はどこですか？答えは： ヨーロッパ
サンマリノが位置する大陸はどこですか？答えは： ヨーロッパ
深圳市が位置する大陸はどこですか？答えは： アジア
コンゴ自由国が位置する大陸はどこですか？答えは： アフリカ
アラブ連盟が位置する大陸はどこですか？答えは： アジア
ヴィスワ川が位置する大陸はどこですか？答えは： ヨーロッパ
ドウロ川が位置する大陸はどこですか？答えは： ヨーロッパ
南アフリカ共和国が位置する大陸はどこですか？答えは： アフリカ
フィジーが位置する大陸はどこですか？答えは： オセアニア
グアダルキビール川が位置する大陸はどこですか？答えは： ヨーロッパ
ソマリアが位置する大陸はどこですか？答えは： アフリカ
ボリス・スパスキーはどこの国の市民ですか？ 答えは: フランス
アダ・ヨナスはどこの国の市民ですか？ 答えは: イスラエル
リオネル・メッシはどこの国の市民ですか？ 答えは: アルゼンチン
カルロス2世はどこの国の市民ですか？ 答えは: スペイン
アドリアーノ・チェレンターノはどこの国の市民ですか？ 答えは: イタリア
ゲオルギ・パルヴァノフはどこの国の市民ですか？ 答えは: ブルガリア
ジルマ・ルセフはどこの国の市民ですか？ 答えは: ブラジル
ロナウドはどこの国の市民ですか？ 答えは: ブラジル
トラヤヌスはどこの国の市民ですか？ 答えは: スペイン
ロナウジーニョはどこの国の市民ですか？ 答えは: ブラジル
スコット・モリソンはどこの国の市民ですか？ 答えは: オーストラリア
ホー・チ・ミンはどこの国の市民ですか？ 答えは: ベトナム
アラン・ロベールはどこの国の市民ですか？ 答えは: フランス
フェルディナン・ド・ソシュールはどこの国の市民ですか？ 答えは: スイス
オーギュスト・ロダンはどこの国の市民ですか？ 答えは: フランス
フリードリヒ・ヴィルヘルム・ベッセルはどこの国の市民ですか？ 答えは: ドイツ
ヨハン・ヴォルフガング・フォン・ゲーテはどこの国の市民ですか？ 答えは: フランクフルト・アム・マイン
マッシモ・ダレマはどこの国の市民ですか？ 答えは: イタリア
ルドルフ・ヘスはどこの国の市民ですか？ 答えは: ドイツ
ヘンリー5世はどこの国の市民ですか？ 答えは: イングランド王国
ミシェル・ウエルベックはどこの国の市民ですか？ 答えは: フランス
マサッチオはどこの国の市民ですか？ 答えは: イタリア
フランス・ギャルはどこの国の市民ですか？ 答えは: フランス
ラファエル・アルベルティはどこの国の市民ですか？ 答えは: スペイン
バーナード・ウッセイはどこの国の市民ですか？ 答えは: アルゼンチン
宮澤喜一はどこの国の市民ですか？ 答えは: 日本
オスカル1世はどこの国の市民ですか？ 答えは: スウェーデン
カール・ボッシュはどこの国の市民ですか？ 答えは: ドイツ
ジッドゥ・クリシュナムルティはどこの国の市民ですか？ 答えは: インド
エリザベス1世はどこの国の市民ですか？ 答えは: イングランド王国
エマニュエル・セニエはどこの国の市民ですか？ 答えは: フランス
グジェゴシ・ラトーはどこの国の市民ですか？ 答えは: ポーランド
クルト・ヴァルトハイムはどこの国の市民ですか？ 答えは: オーストリア
マーガレット・アトウッドはどこの国の市民ですか？ 答えは: カナダ
エンツォ・フェラーリはどこの国の市民ですか？ 答えは: イタリア
ブールヴィルはどこの国の市民ですか？ 答えは: フランス
ヴォルフガング・パウリはどこの国の市民ですか？ 答えは: オーストリア
シャルル6世はどこの国の市民ですか？ 答えは: フランス
ミシェル・アウンはどこの国の市民ですか？ 答えは: レバノン
マグヌス・カールセンはどこの国の市民ですか？ 答えは: ノルウェー
ヘンリク・シェンキェヴィチはどこの国の市民ですか？ 答えは: ポーランド
アーサー・テューダーはどこの国の市民ですか？ 答えは: イングランド王国
